Year,fossil-fuel-and-industry,land-use-change-emissions,atmospheric-growth,ocean-sink,land-sink,budget-imbalance,emissions-total,sinks-total
1850,0.054,0.687812409290314,0.18868,0.164195,0.391776847303217,-0.00283943801290326,0.741812409290314,0.744651847303217
1851,0.054,0.691782896381378,0.125504,0.165485,-0.094294819226233,0.549088715607611,0.745782896381378,0.196694180773767
1852,0.057,0.696711060821533,0.069536,0.171645,0.11448171811173,0.398048342709803,0.753711060821533,0.35566271811173
1853,0.059,0.701904330457687,0.00954,0.172905,0.222795498621766,0.355663831835921,0.760904330457687,0.405240498621766
1854,0.069,0.704658061746597,-0.038796,0.17432,0.236736495691228,0.401397566055369,0.773658061746597,0.372260495691229
1855,0.071,0.706707017700195,-0.063388,0.18083,0.305520910538251,0.354744107161944,0.777707017700195,0.422962910538251
1856,0.076,0.71075637292099,-0.063176,0.18227,0.604861830567469,0.0628005423535207,0.78675637292099,0.723955830567469
1857,0.077,0.7174014745121,-0.052788,0.18896,0.874937040132677,-0.216707565620576,0.7944014745121,1.01110904013268
1858,0.078,0.722895861959458,-0.036252,0.19561,0.435797200084168,0.20574066187529,0.800895861959457,0.595155200084168
1859,0.083,0.725729728858948,-0.01378,0.1976,-0.153808810281193,0.77871853914014,0.808729728858948,0.0300111897188074
1860,0.091,0.696427444835663,0.01484,0.19967,0.292006724646861,0.280910720188801,0.787427444835663,0.506516724646861
1861,0.095,0.687017240526199,0.05088,0.206965,-0.388624340654079,0.912796581180278,0.782017240526199,-0.130779340654079
1862,0.097,0.682866278776169,0.094552,0.219015,-0.311112573065201,0.77741185184137,0.779866278776169,0.00245442693479936
1863,0.104,0.680665102367401,0.146068,0.22639,0.578446200638225,-0.166239098270824,0.784665102367401,0.950904200638225
1864,0.112,0.678724836221695,0.2067,0.228825,0.743785106724985,-0.38858527050329,0.790724836221695,1.17931010672498
1865,0.119,0.67925917237854,0.273692,0.236465,0.0835405944128083,0.204561577965732,0.79825917237854,0.593697594412808
1866,0.122,0.675723834051132,0.334324,0.244015,0.354495403634695,-0.135110569583562,0.797723834051132,0.932834403634695
1867,0.13,0.673889033987045,0.385204,0.25209,0.61331368202319,-0.446718648036144,0.803889033987045,1.25060768202319
1868,0.135,0.672490638389587,0.426544,0.259695,0.54646679564862,-0.425215157259033,0.807490638389587,1.23270579564862
1869,0.142,0.672739310005188,0.458344,0.26803,0.323271028240931,-0.234905718235743,0.814739310005188,1.04964502824093
1870,0.147,0.742176837327957,0.480816,0.271125,0.410096677092829,-0.272860839764872,0.889176837327957,1.16203767709283
1871,0.156,0.771576652376175,0.494596,0.27913,-0.0745947782007471,0.228445430576922,0.927576652376175,0.699131221799253
1872,0.173,0.791496167886734,0.496504,0.287825,0.0442752825206018,0.135891885366132,0.964496167886734,0.828604282520602
1873,0.184,0.811339560882568,0.485692,0.295945,0.331225535448193,-0.117522974565624,0.995339560882568,1.11286253544819
1874,0.174,0.826721739906311,0.46216,0.30465,0.276992115965262,-0.043080376058951,1.00072173990631,1.04380211596526
1875,0.188,0.841730860389709,0.430572,0.313115,0.364093662783788,-0.0780498023940788,1.02973086038971,1.10778066278379
1876,0.191,0.854118545856476,0.409584,0.3218,0.761827787047101,-0.448093241190625,1.04511854585648,1.4932117870471
