index,country,country_code,type,latitude,longitude
42,Suriname,SUR,country,3.9193050000000005,-56.02778299999999
43,France,FRA,country,46.227638,2.213749
44,Ecuador,ECU,country,-1.8312389999999998,-78.183406
45,Puerto Rico,PRI,country,18.220833,-66.590149
46,Jamaica,JAM,country,18.109581,-77.297508
47,Cuba,CUB,country,21.521757,-77.78116700000001
48,Zimbabwe,ZWE,country,-19.015438,29.154857
49,Botswana,BWA,country,-22.328474,24.684866
50,Namibia,NAM,country,-22.957639999999998,18.49041
51,Senegal,SEN,country,14.497401000000002,-14.452361999999999
52,Mali,MLI,country,17.570692,-3.9961660000000006
53,Mauritania,MRT,country,21.00789,-10.940835
54,Benin,BEN,country,9.30769,2.315834
55,Niger,NER,country,17.607789,8.081666
56,Nigeria,NGA,country,9.081999,8.675277000000001
57,Cameroon,CMR,country,7.369722,12.354722
58,Togo,TGO,country,8.619543,0.824782
59,Ghana,GHA,country,7.946527000000001,-1.0231940000000002
60,Ivory Coast,CIV,country,7.539989,-5.54708
61,Guinea,GIN,country,9.945587,-9.696645
62,Guinea-Bissau,GNB,country,11.803749,-15.180413
63,Liberia,LBR,country,6.4280550000000005,-9.429499
64,Sierra Leone,SLE,country,8.460555000000001,-11.779889
65,Burkina Faso,BFA,country,12.238333,-1.561593
66,Central African Republic,CAF,country,6.611111,20.939444
67,Republic of the Congo,COG,country,-0.228021,15.827659
68,Gabon,GAB,country,-0.803689,11.609444
69,Equatorial Guinea,GNQ,country,1.6508009999999997,10.267895
70,Zambia,ZMB,country,-13.133897,27.849332
71,Malawi,MWI,country,-13.254307999999998,34.301525
72,Mozambique,MOZ,country,-18.665695,35.529562
73,eSwatini,SWZ,country,-26.5,31.5
74,Angola,AGO,country,-11.202691999999999,17.873887
75,Burundi,BDI,country,-3.3730559999999996,29.918885999999997
76,Israel,ISR,country,31.046051000000002,34.851612
77,Lebanon,LBN,country,33.854721000000005,35.862285
78,Madagascar,MDG,country,-18.766947000000002,46.869107
79,Palestine,PSX,country,31.952162,35.233154
80,Gambia,GMB,country,13.443182,-15.310139000000001
81,Tunisia,TUN,country,33.886917,9.537499
82,Algeria,DZA,country,28.033886,1.6596259999999998
83,Jordan,JOR,country,30.585164000000002,36.238414
84,United Arab Emirates,ARE,country,23.424076,53.847818000000004
85,Qatar,QAT,country,25.354826,51.183884
86,Kuwait,KWT,country,29.311659999999996,47.481766
87,Iraq,IRQ,country,33.223191,43.679291
88,Oman,OMN,country,21.512583,55.923255000000005
89,Vanuatu,VUT,country,-15.376706,166.959158
90,Cambodia,KHM,country,12.565679,104.990963
91,Thailand,THA,country,15.870032,100.992541
92,Laos,LAO,country,19.856270000000002,102.495496
93,Myanmar,MMR,country,21.913965,95.956223
94,Vietnam,VNM,country,14.058323999999999,108.277199
95,North Korea,PRK,country,40.339852,127.510093
96,South Korea,KOR,country,35.907757,127.766922
97,Mongolia,MNG,country,46.862496,103.84665600000001
98,India,IND,country,20.593684,78.96288
99,Bangladesh,BGD,country,23.684994,90.35633100000001
100,Bhutan,BTN,country,27.514162,90.433601
101,Nepal,NPL,country,28.394857000000002,84.12400799999999
102,Pakistan,PAK,country,30.375321000000003,69.345116
103,Afghanistan,AFG,country,33.93911,67.709953
104,Tajikistan,TJK,country,38.861034000000004,71.276093
105,Kyrgyzstan,KGZ,country,41.20438,74.766098
